genus	action
Iridomyrmex	split_biogeo
Ishakidris	split_biogeo
Kartidris	split_biogeo
Labidus	split_biogeo
Lachnomyrmex	split_biogeo
Lasiomyrma	split_biogeo
Lasiophanes	split_biogeo
Lasius	split_biogeo
Lenomyrmex	split_biogeo
Lepisiota	split_biogeo
Leptanilla	split_biogeo
Leptanilloides	split_biogeo
Leptogenys	split_biogeo
Leptomyrmex	split_biogeo
Leptothorax	split_biogeo
Linepithema	split_biogeo
Liometopum	split_biogeo
Lioponera	split_biogeo
Lividopone	split_biogeo
Loboponera	split_biogeo
Lophomyrmex	split_biogeo
Lordomyrma	split_biogeo
Makebapone	split_biogeo
Manica	split_biogeo
Mayaponera	split_biogeo
Mayriella	split_biogeo
Megalomyrmex	split_biogeo
Melophorus	split_biogeo
Meranoplus	split_biogeo
Mesoponera	split_biogeo
Mesostruma	split_biogeo
Messor	split_biogeo
Metapone	split_biogeo
Microdaceton	split_biogeo
Monomorium	split_biogeo
Mycetagroicus	split_biogeo
Mycetarotes	split_biogeo
Mycetomoellerius	split_biogeo
Mycetophylax	split_biogeo
Mycetosoritis	split_biogeo
Mycocepurus	split_biogeo
Myopias	split_biogeo
Myrmecia	split_biogeo
Myrmecina	split_biogeo
Myrmecocystus	split_biogeo
Myrmecorhynchus	split_biogeo
Myrmelachista	split_biogeo
Myrmica	split_biogeo
Myrmicaria	split_biogeo
Myrmicocrypta	split_biogeo
Myrmoteras	split_biogeo
Mystrium	split_biogeo
Neivamyrmex	split_biogeo
Neoponera	split_biogeo
Nesomyrmex	split_biogeo
Notoncus	split_biogeo
Notostigma	split_biogeo
Nylanderia	split_biogeo
Ochetellus	split_biogeo
Octostruma	split_biogeo
Ocymyrmex	split_biogeo
Odontomachus	split_biogeo
Oecophylla	split_biogeo
Onychomyrmex	split_biogeo
Ooceraea	split_biogeo
Ophthalmopone	split_biogeo
Opisthopsis	split_biogeo
Orectognathus	split_biogeo
Overbeckia	split_biogeo
Oxyepoecus	split_biogeo
Oxyopomyrmex	split_biogeo
Pachycondyla	split_biogeo
Papyrius	split_biogeo
Paraparatrechina	split_biogeo
Parasyscia	split_biogeo
Paratopula	split_biogeo
Paratrachymyrmex	split_biogeo
Paratrechina	split_biogeo
Parvaponera	split_biogeo
Patagonomyrmex	split_biogeo
Perissomyrmex	split_biogeo
Peronomyrmex	split_biogeo
Pheidole	split_biogeo
Philidris	split_biogeo
Plagiolepis	split_biogeo
Platythyrea	split_biogeo
Plectroctena	split_biogeo
Podomyrma	split_biogeo
Poecilomyrma	split_biogeo
Pogonomyrmex	split_biogeo
Polyergus	split_biogeo
Polyrhachis	split_biogeo
Ponera	split_biogeo
Poneracantha	split_biogeo
Prenolepis	split_biogeo
Prionopelta	split_biogeo
Pristomyrmex	split_biogeo
Probolomyrmex	split_biogeo
Proceratium	split_biogeo
Procryptocerus	split_biogeo
Proformica	split_biogeo
Prolasius	split_biogeo
Protalaridris	split_biogeo
Protanilla	split_biogeo
Psalidomyrmex	split_biogeo
Pseudoatta	split_biogeo
Pseudolasius	split_biogeo
Pseudomyrmex	split_biogeo
Pseudoneoponera	split_biogeo
Pseudonotoncus	split_biogeo
Rasopone	split_biogeo
Recurvidris	split_biogeo
Rhopalomastix	split_biogeo
Rhopalothrix	split_biogeo
Rhytidoponera	split_biogeo
Rogeria	split_biogeo
Romblonella	split_biogeo
Rossomyrmex	split_biogeo
Rotastruma	split_biogeo
Royidris	split_biogeo
Secostruma	split_biogeo
Sericomyrmex	split_biogeo
Simopelta	split_biogeo
Simopone	split_biogeo
Solenopsis	split_biogeo
Sphinctomyrmex	split_biogeo
Stegomyrmex	split_biogeo
Stenamma	split_biogeo
Stereomyrmex	split_biogeo
Stictoponera	split_biogeo
Stigmacros	split_biogeo
Stigmatomma	split_biogeo
Streblognathus	split_biogeo
Strongylognathus	split_biogeo
Strumigenys	split_biogeo
Syllophopsis	split_biogeo
Syscia	split_biogeo
Tanipone	split_biogeo
Tapinolepis	split_biogeo
Tapinoma	split_biogeo
Technomyrmex	split_biogeo
Temnothorax	split_biogeo
Terataner	split_biogeo
Teratomyrmex	split_biogeo
Tetheamyrma	split_biogeo
Tetramorium	split_biogeo
Tetraponera	split_biogeo
Thaumatomyrmex	split_biogeo
Trachymyrmex	split_biogeo
Trichomyrmex	split_biogeo
Turneria	split_biogeo
Typhlomyrmex	split_biogeo
Tyrannomyrmex	split_biogeo
Unicumyrmex	split_biogeo
Uwari	split_biogeo
Vollenhovia	split_biogeo
Vombisidris	split_biogeo
Wadeura	split_biogeo
Wasmannia	split_biogeo
Xenomyrmex	split_biogeo
Xiphopelta	split_biogeo
Xymmer	split_biogeo
Yunodorylus	split_biogeo
Zasphinctus	split_biogeo
Zatania	split_biogeo
